"Registry","Description","Website"
"@8bitcn","A set of 8-bit styled retro components. Open Source. Open Code. Works with your favorite frameworks.","View"
"@aceternity","Modern component library built with Tailwind CSS and Motion for React. Unique, interactive UI components.","View"
"@ai-elements","Pre-built components like conversations, messages for AI-native applications.","View"
"@algolia","Enterprise AI search infrastructure for developers.","View"
"@aliimam","End-to-end digital experiences, apps, websites, brands, and products.","View"
"@animate-ui","Fully animated, open-source React component distribution.","View"
"@assistant-ui","Radix-style React primitives for AI chat, with various adapters.","View"
"@better-upload","Simple file uploads for React, compatible with S3 services.","View"
"@basecn","Beautifully crafted shadcn/ui components powered by Base UI.","View"
"@billingsdk","Open-source React and Next.js components for SaaS billing, invoices, and payments.","View"
"@blocks","Clean, modern application building blocks. Free and Open Source.","View"
"@clerk","Easiest way to add authentication and user management for React, Next.js, and more.","View"
"@coss","Modern UI component library built on Base UI. Designed for developers and AI.","View"
"@creative-tim","Collection of open-source UI components, blocks, AI agents. Integration-ready.","View"
"@cult-ui","Shadcn-compatible, headless, composable components with tasteful animations.","View"
"@diceui","Accessible shadcn/ui components built with React, TypeScript, Tailwind CSS.","View"
"@elements","Full-stack shadcn/ui components for auth, monetization, uploads, and AI.","View"
"@elevenlabs-ui","Open-source agent and audio components you can customize and extend.","View"
"@efferd","Beautifully crafted Shadcn/UI blocks for building modern websites.","View"
"@eldoraui","Open-source, modern UI library for React with TypeScript, Tailwind, and Framer Motion.","View"
"@formcn","Production-ready forms with shadcn components and modern tools.","View"
"@ha-components","Customizable components for Home Assistant dashboards.","View"
"@hooks","Comprehensive collection of React Hooks for Shadcn.","View"
"@intentui","Accessible React component library you can copy, customize, and own.","View"
"@kibo-ui","Composable, accessible, open-source components for shadcn/ui.","View"
"@kanpeki","Perfect-designed components built with React Aria and Motion.","View"
"@kokonutui","Stunning components built with Tailwind, shadcn/ui, and Motion.","View"
"@lens-blocks","Social media components for Lens Social Protocol.","View"
"@limeplay","Modern media player UI library for React, powered by Shaka Player.","View"
"@lytenyte","High-performance, lightweight, headless React data grid with Tailwind and Shadcn themes.","View"
"@magicui","UI Library for Design Engineers with 150+ animated, open-source components.","View"
"@mui-treasury","Hand-crafted interfaces built on top of MUI components.","View"
"@motion-primitives","Beautifully designed motion components. Customizable and open source.","View"
"@ncdai","Collection of reusable components.","View"
"@nuqs","Custom parsers, adapters, and utilities for type-safe URL state management.","View"
"@oui","React Aria components with shadcn characteristics. Copy-and-paste ready.","View"
"@paceui","Animated components and building blocks for smooth interaction.","View"
"@paykit-sdk","Unified payments SDK for Stripe, PayPal, Adyen, and regional gateways.","View"
"@plate","AI-powered rich text editor for React.","View"
"@prompt-kit","Building blocks for AI apps: high-quality, accessible, customizable AI interface components.","View"
"@prosekit","Flexible rich text editor for React, Vue, Preact, Svelte, and SolidJS.","View"
"@react-bits","Animated, interactive, customizable React components for memorable websites.","View"
"@retroui","Neobrutalism styled React + TailwindCSS UI library for bold, modern web apps.","View"
"@reui","Open-source UI components and animated effects for React, pairing beautifully with shadcn/ui.","View"
"@scrollxui","Open-source React and shadcn-compatible component library for animated, interactive interfaces.","View"
"@systaliko-ui","UI component library designed for flexibility and customization.","View"
"@roiui","Open-source UI components and blocks built with Base UI primitives and motion.","View"
"@solaceui","Production-ready, animated sections, components, and full-page templates for Next.js and Tailwind.","View"
"@shadcnblocks","Registry with hundreds of extra blocks for shadcn/ui.","View"
"@shadcndesign","Growing collection of high-quality blocks and themes for shadcn/ui.","View"
"@shadcn-studio","Open-source set of shadcn/ui components, blocks, templates, and theme generator.","View"
"@shadcn-editor","Accessible, customizable rich text editor made with Lexical and Shadcn/UI.","View"
"@spectrumui","Modern component library with shadcn/ui and Tailwind CSS—elegant, responsive components.","View"
"@supabase","React components and blocks connecting to Supabase back-end.","View"
"@svgl","Beautiful SVG logo library.","View"
"@tailark","Shadcn blocks for building modern marketing websites.","View"
"@utilcn","Fullstack registry items for features like ChatGPT apps, file uploads, and typesafe backend environment variables.","View"
"@wandry-ui","Open source, fully controlled React Inertia form elements.","View"
"@wigggle-ui","Beautiful copy-and-paste widgets for your next project.","View"
"@zippystarter","Expertly crafted blocks, components, and themes for shadcn/ui.","View"
